image_url,category,title,occasion,size_tiers,flavour,technique,price_band,lead_time,description,alt
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/wedding-two-tier-white-chrysanthemum.jpg,wedding tiered,Two-Tier Ivory Chrysanthemum Nikkah Cake,Nikkah,"5 lb, two tier",Chocolate fudge,Buttercream finish,"Rs. 12,000 – 14,000",3 days,"A two-tier buttercream wedding cake in ivory, dressed with white chrysanthemums and presented on a gold board. Made for a nikkah in Sialkot.",Two-tier ivory wedding cake with white chrysanthemums on a gold board
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/wedding-two-tier-pearls-roses.jpg,wedding tiered,Two-Tier Pearl and Rose Nikkah Cake,Nikkah,"6 lb, two tier",Chocolate fudge,Buttercream finish,"Rs. 15,000 – 18,000",3 days,"A two-tier buttercream wedding cake with hand-piped pearls, fresh white roses and baby's breath, made for a nikkah.","Two-tier white wedding cake with piped pearls, white roses and baby's breath"
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/wedding-two-tier-veil-portrait.jpg,wedding tiered,Two-Tier Veil and Portrait Wedding Cake,Wedding,"7 lb, two tier",Nutella,Buttercream finish,"Rs. 18,000 – 20,000",5 days,"A two-tier Nutella wedding cake with a fondant veil drape, a hand-painted portrait of the couple and a personalised name topper.","Two-tier wedding cake with a fondant veil drape, hand-painted couple portrait and name topper"
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/tiered-vintage-pink-bows.jpg,tiered,Two-Tier Pink Vintage Anniversary Cake,Anniversary,"5 lb, two tier",Chocolate fudge,Buttercream finish,"Rs. 14,000 – 16,000",3 days,"A two-tier buttercream anniversary cake in pink, hand-piped with roses, bows and lace detailing.","Two-tier pink vintage cake with piped roses, bows and lace detailing"
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/tiered-sun-daisy-first-birthday.jpg,birthday tiered,Two-Tier Sunshine First Birthday Cake,1st birthday,"5 lb, two tier",Chocolate fudge,Buttercream finish,"Rs. 12,000 – 14,000",3 days,"A two-tier buttercream cake for a first birthday, finished with daisies, piped pearls and a fondant sun topper.","Two-tier first birthday cake with daisies, pearls and a fondant sun topper"
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/birthday-candles-floral-white.jpg,birthday,Fresh Cream Floral Sheet Cake,Birthday,"3 lb, sheet cake",Chocolate fudge,Whipped cream finish,"Rs. 6,500 – 7,500",3 days,A chocolate fudge sheet cake finished in fresh cream and styled with fresh flowers and lit candles.,Buttercream birthday cake with lit candles and fresh flowers
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/wedding-two-tier-rings-monogram.jpg,wedding tiered,Two-Tier Monogram Engagement Cake,Wedding,"6 lb, two tier",Nutella,Buttercream finish,"Rs. 18,000 – 22,000",3 days,"A two-tier Nutella engagement cake in smooth buttercream, finished with a monogram plaque and a ring topper.",Two-tier engagement cake with monogram and ring topper
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/birthday-heart-navy-gold.jpg,birthday,Navy and Gold Vintage Heart Cake,Birthday,"2 lb, single tier",Vanilla caramel,Buttercream finish,"Rs. 4,200 – 4,400",3 days,"A vanilla caramel heart cake in navy and cream buttercream, finished with gold leaf.",heart cake in navy and cream with gold leaf
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/birthday-fresh-fruit-cream.jpg,birthday,Fresh Fruit and Cream Birthday Cake,Birthday,"2 lb, single tier",Mixed fruit fresh cream,Whipped cream finish,"Rs. 4,200 – 4,400",3 days,"A mixed fruit fresh cream cake topped with mango, peach and seasonal fruit.","Fresh cream cake topped with mango, peach and seasonal fruit"
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/themed-graduation-sunflower.jpg,themed,Sunflower Graduation Cake,Graduation,"2 lb, single tier",Vanilla and pineapple fresh cream,Whipped cream finish,"Rs. 4,200 – 4,400",3 days,"A vanilla and pineapple fresh cream cake for a graduation, decorated with sunflowers and a fondant graduation cap.",Graduation cake with sunflowers and a fondant graduation cap
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/birthday-white-chocolate-drip.jpg,birthday,White Drip and Baby's Breath Cake,Birthday,"2 lb, single tier",Vanilla strawberry,Whipped cream finish,"Rs. 4,200 – 4,400",3 days,A vanilla strawberry cake finished in white piping and dressed with pink baby's breath.,White chocolate drip cake with pink baby's breath
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/birthday-maroon-black-ribbon.jpg,birthday,Two-Tier Maroon Vintage Cake,Birthday,"6 lb, two tier",Chocolate fudge,Buttercream finish,"Rs. 14,000 – 16,000",3 days,"A two-tier chocolate fudge cake in deep maroon buttercream, hand-piped with shells and finished with black ribbon detailing.",Deep maroon cake with piped shells and black ribbon detailing
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/birthday-black-drip-tower.jpg,birthday,Black Drip Candle Tower Cake,Birthday,"2 lb, three-cake tower",Chocolate fudge,Buttercream finish,"Rs. 5,200 – 5,800",3 days,A chocolate fudge birthday cake built as a three-cake tower with a black drip finish and tall candles.,Three-cake black drip tower for a birthday
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/themed-eid-dessert-box.jpg,themed cupcakes,Eid Dessert Box of Cupcakes and Cookies,Eid,Cupcakes and butter cookies,Chocolate and vanilla,Fondant and whipped cream,"Rs. 3,200 – 3,600",3 days,"An Eid dessert box of fondant-decorated butter cookies and mini cupcakes in pink and gold, in chocolate and vanilla.",Eid dessert box of decorated cookies and mini cupcakes in pink and gold
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/themed-sunflower-bouquet-cake.jpg,themed,Sunflower Bouquet Cake,Birthday,"2 lb, single tier",Chocolate fudge,Fresh cream finish,"Rs. 4,000 – 4,400",3 days,"A chocolate fudge cake in fresh cream, designed and wrapped to look like a sunflower bouquet.",Cake designed as a wrapped sunflower bouquet
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/themed-mayon-floral-fondant.jpg,themed,Mayon Fondant Flower Cake,Mayon,"3 lb, single tier",Chocolate fudge,Buttercream finish,"Rs. 6,600 – 7,000",3 days,"A chocolate fudge buttercream cake for a mayon, decorated with bright fondant flowers and gold accents.",Mayon cake with bright fondant flowers and gold accents
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/birthday-chocolate-candles.jpg,birthday,Bridal Shower Chocolate Petal Cake,Bridal shower,"2 lb, single tier",Chocolate fudge,Buttercream finish,"Rs. 4,400 – 4,600",3 days,"A chocolate fudge buttercream cake for a bride-to-be, hand-piped with petals and finished with tall candles.",Chocolate buttercream cake with piped petals and tall candles
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/birthday-21-sunflower.jpg,birthday,21st Birthday Sunflower Cake,Birthday,"2 lb, single tier",Chocolate fudge,Whipped cream finish,"Rs. 3,900 – 4,200",3 days,"A chocolate fudge cake in whipped cream, decorated with sunflowers and styled with gold number balloons.",21st birthday sunflower cake styled with gold number balloons
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/wedding-two-tier-maroon-roses.jpg,wedding tiered,Two-Tier Maroon and Cream Wedding Cake,Wedding,"5 lb, two tier",Chocolate fudge,Buttercream finish,"Rs. 15,000 – 18,000",3 days,"A two-tier buttercream wedding cake in maroon and cream, hand-piped with roses and finished with baby's breath.",Two-tier maroon and cream cake with piped roses and baby breath flowers
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/themed-boss-baby-tiered.jpg,themed tiered,Two-Tier Boss Baby Birthday Cake,Birthday,"10 lb, two tier",Chocolate fudge,Buttercream finish,"Rs. 24,000 – 28,000",3 days,"A two-tier chocolate fudge buttercream cake on a Boss Baby theme, finished with balloons and fondant details.",Two-tier Boss Baby themed cake with balloons and fondant details
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/themed-heart-roses-chocolates.jpg,themed,Heart Cake with Roses and Chocolates,Birthday,"2 lb, single tier",Chocolate fudge,Whipped cream finish,"Rs. 3,900 – 4,200",3 days,"A chocolate fudge heart cake in whipped cream, presented with matching chocolates and a red rose bouquet.",Heart cake with matching chocolates and a red rose bouquet
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/themed-sunflower-painted.jpg,themed,Hand-Piped Sunflower Cake,Birthday,"1.5 lb, single tier",Chocolate fudge,Whipped cream finish,"Rs. 2,800 – 3,000",3 days,A chocolate fudge cake finished in whipped cream and hand-piped with sunflowers.,Buttercream cake hand-piped with sunflowers
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/birthday-teddy-polka-chocolate.jpg,birthday,Teddy Bear Polka Dot Cake,Birthday,"1.5 lb, single tier",Chocolate fudge,Whipped cream finish,"Rs. 2,800 – 3,000",3 days,A chocolate fudge cake in whipped cream with polka dots and a fondant teddy bear topper.,Chocolate polka dot cake with a fondant teddy bear topper
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/birthday-heart-blue-floral.jpg,birthday,Blue and White Vintage Heart Cake,Birthday,"2 lb, single tier",Chocolate fudge,Whipped cream finish,"Rs. 3,900 – 4,200",3 days,"A chocolate fudge heart cake in whipped cream, hand-piped with blue and white ruffles.",Blue and white heart birthday cake with piped ruffles
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/cupcakes-red-velvet-love-set.jpg,cupcakes,Red Velvet Cake and Cupcake Set,Anniversary,"1.5 lb, plus cupcakes",Chocolate fudge,Buttercream finish,"Rs. 4,400 – 4,600",3 days,"A red velvet celebration cake with a matching set of decorated cupcakes, finished in buttercream for an anniversary.",Red velvet celebration cake with matching decorated cupcakes
https://laiba1234-a.github.io/the_bakingpalette/images/gallery/themed-congrats-sunflowers.jpg,themed,Congratulations Sunflower Cake,Birthday,"1.5 lb, single tier",Chocolate fudge,Whipped cream finish,"Rs. 2,800 – 3,000",3 days,A chocolate fudge cake in whipped cream with gold script lettering and a sunflower bouquet.,Congratulations cake in gold script with a sunflower bouquet
